symbol,company_name
RELIANCE,Reliance Industries Limited
TCS,Tata Consultancy Services Limited
HDFCBANK,HDFC Bank Limited
ICICIBANK,ICICI Bank Limited
INFY,Infosys Limited
SBIN,State Bank of India
ITC,ITC Limited
LT,Larsen & Toubro Limited
HINDUNILVR,Hindustan Unilever Limited
BHARTIARTL,Bharti Airtel Limited
KOTAKBANK,Kotak Mahindra Bank Limited
AXISBANK,Axis Bank Limited
BAJFINANCE,Bajaj Finance Limited
ASIANPAINT,Asian Paints Limited
MARUTI,Maruti Suzuki India Limited
TITAN,Titan Company Limited
ULTRACEMCO,UltraTech Cement Limited
NESTLEIND,Nestle India Limited
WIPRO,Wipro Limited
ONGC,Oil and Natural Gas Corporation Limited
POWERGRID,Power Grid Corporation of India Limited
NTPC,NTPC Limited
TATAMOTORS,Tata Motors Limited
TATASTEEL,Tata Steel Limited
JSWSTEEL,JSW Steel Limited
COALINDIA,Coal India Limited
BAJAJFINSV,Bajaj Finserv Limited
INDUSINDBK,IndusInd Bank Limited
ADANIPORTS,Adani Ports and SEZ Limited
ADANIENT,Adani Enterprises Limited
SUNPHARMA,Sun Pharmaceutical Industries Limited
DRREDDY,Dr. Reddy's Laboratories Limited
CIPLA,Cipla Limited
DIVISLAB,Divi's Laboratories Limited
APOLLOHOSP,Apollo Hospitals Enterprise Limited
BRITANNIA,Britannia Industries Limited
PIDILITIND,Pidilite Industries Limited
BEL,Bharat Electronics Limited
HAL,Hindustan Aeronautics Limited
DABUR,Dabur India Limited
SIEMENS,Siemens Limited
SBILIFE,SBI Life Insurance Company Limited
HDFCLIFE,HDFC Life Insurance Company Limited
ICICIPRULI,ICICI Prudential Life Insurance Company Limited
EICHERMOT,Eicher Motors Limited
HEROMOTOCO,Hero MotoCorp Limited
MOTHERSON,Samvardhana Motherson International Limited
TVSMOTOR,TVS Motor Company Limited
BOSCHLTD,Bosch Limited
AMBUJACEM,Ambuja Cements Limited
SHREECEM,Shree Cement Limited
ACC,ACC Limited
RAMCOCEM,The Ramco Cements Limited
JINDALSTEL,Jindal Steel & Power Limited
SAIL,Steel Authority of India Limited
NMDC,NMDC Limited
HINDALCO,Hindalco Industries Limited
VEDL,Vedanta Limited
IOC,Indian Oil Corporation Limited
BPCL,Bharat Petroleum Corporation Limited
GAIL,GAIL (India) Limited
PETRONET,Petronet LNG Limited
OIL,Oil India Limited
IGL,Indraprastha Gas Limited
MGL,Mahanagar Gas Limited
TATAPOWER,Tata Power Company Limited
ADANIGREEN,Adani Green Energy Limited
ADANIPOWER,Adani Power Limited
TRENT,Trent Limited
ZOMATO,Eternal Limited
DMART,Avenue Supermarts Limited
NYKAA,FSN E-Commerce Ventures Limited
INDHOTEL,Indian Hotels Company Limited
UBL,United Breweries Limited
COLPAL,Colgate-Palmolive (India) Limited
GODREJCP,Godrej Consumer Products Limited
EMAMILTD,Emami Limited
MARICO,Marico Limited
PGHH,Procter & Gamble Hygiene and Health Care Limited
WHIRLPOOL,Whirlpool of India Limited
VOLTAS,Voltas Limited
HAVELLS,Havells India Limited
BLUESTARCO,Blue Star Limited
POLYCAB,Polycab India Limited
KEI,KEI Industries Limited
FINCABLES,Finolex Cables Limited
CROMPTON,Crompton Greaves Consumer Electricals Limited
ABB,ABB India Limited
HONAUT,Honeywell Automation India Limited
CGPOWER,CG Power and Industrial Solutions Limited
CUMMINSIND,Cummins India Limited
ELGIEQUIP,Elgi Equipments Limited
ESABINDIA,ESAB India Limited
BATAINDIA,Bata India Limited
IRCTC,Indian Railway Catering and Tourism Corporation Limited
IRFC,Indian Railway Finance Corporation Limited
CONCOR,Container Corporation of India Limited
RVNL,Rail Vikas Nigam Limited
NBCC,NBCC (India) Limited
HUDCO,Housing and Urban Development Corporation Limited
PFC,Power Finance Corporation Limited
RECLTD,REC Limited
BANKBARODA,Bank of Baroda
PNB,Punjab National Bank
CANBK,Canara Bank
UNIONBANK,Union Bank of India
IDBI,IDBI Bank Limited
FEDERALBNK,Federal Bank Limited
RBLBANK,RBL Bank Limited
BANDHANBNK,Bandhan Bank Limited
AUBANK,AU Small Finance Bank Limited
YESBANK,Yes Bank Limited
